AID	TelemDate	TimeLag	AEA_X	AEA_Y
56B	2010-05-09 22:00:00.000	60	-1060783.13442081	2494362.16991631
56B	2010-05-09 23:00:00.000	60	-1060768.58097943	2494363.4674164
56B	2010-05-10 00:00:00.000	60	-1060485.60180991	2494461.43063895
56B	2010-05-10 01:00:00.000	60	-1060510.10201163	2494558.27226308
56B	2010-05-10 02:00:00.000	60	-1060509.32745579	2494546.91518547
56B	2010-05-10 03:00:00.000	60	-1060502.29067245	2494540.28810894
56B	2010-05-10 04:00:00.000	60	-1060664.45020361	2494466.70060201
56B	2010-05-10 05:00:00.000	60	-1061060.06832955	2494407.31218533
56B	2010-05-10 06:00:00.000	60	-1061184.05337287	2494741.04211248
56B	2010-05-10 07:00:00.000	60	-1061134.38120028	2494831.79815952
56B	2010-05-10 08:00:00.000	60	-1061136.10743407	2494825.29654918
56B	2010-05-10 09:00:00.000	60	-1061133.12695146	2494834.99313613
56B	2010-05-10 10:00:00.000	60	-1061099.53308237	2494773.9646347
56B	2010-05-10 11:00:00.000	60	-1061109.37488726	2494794.48877529
56B	2010-05-10 12:00:00.000	60	-1061131.2521444	2494831.35152389
56B	2010-05-10 13:00:00.000	60	-1060955.2890825	2494744.38035583
56B	2010-05-10 14:00:00.000	60	-1060910.21922117	2494752.5690884
56B	2010-05-10 15:00:00.000	60	-1060912.25984919	2494743.86298313
56B	2010-05-10 16:00:00.000	60	-1060902.13634197	2494680.56168196
56B	2010-05-10 17:00:00.000	60	-1060890.81551945	2494754.29872783
56B	2010-05-10 18:00:00.000	60	-1060528.92743937	2494487.85482332
56B	2010-05-10 19:00:00.000	60	-1060383.91736707	2494424.43346529
56B	2010-05-10 20:00:00.000	60	-1059781.12352302	2494772.59341319
56B	2010-05-10 21:00:00.000	60	-1057812.30308348	2494849.81293693
56B	2010-05-10 22:00:00.000	60	-1057624.91740816	2495162.77505487
56B	2010-05-10 23:00:00.000	60	-1057623.82341702	2495159.24567731
56B	2010-05-11 00:00:00.000	60	-1057628.82855351	2495163.33150147
56B	2010-05-11 01:00:00.000	60	-1057610.52176854	2495168.59899478
56B	2010-05-11 02:00:00.000	60	-1057604.26207022	2495173.3313028
56B	2010-05-11 03:00:00.000	60	-1057472.93631202	2495367.19268725
56B	2010-05-11 04:00:00.000	60	-1057499.52952528	2495376.59864755
56B	2010-05-11 05:00:00.000	60	-1057372.19690838	2495323.6237951
56B	2010-05-11 06:00:00.000	60	-1056936.91043767	2495505.74936007
56B	2010-05-11 07:00:00.000	60	-1056998.85138524	2495547.16890594
56B	2010-05-11 08:00:00.000	60	-1056991.81168875	2495546.16788668
56B	2010-05-11 09:00:00.000	60	-1057004.80593849	2495510.90531316
56B	2010-05-11 10:00:00.000	60	-1056690.27670595	2495842.90966987
56B	2010-05-11 11:00:00.000	60	-1056604.23732529	2496498.6511414
56B	2010-05-11 12:00:00.000	60	-1056595.31538615	2496522.12235027
56B	2010-05-11 13:00:00.000	60	-1056590.30947864	2496523.65976031
56B	2010-05-11 14:00:00.000	60	-1056571.40736077	2496420.88986496
56B	2010-05-11 15:00:00.000	60	-1056153.25578982	2496578.49088416
56B	2010-05-11 17:00:00.000	120	-1056204.79345144	2496187.73512441
56B	2010-05-11 18:00:00.000	60	-1056292.80203126	2495680.70922958
56B	2010-05-11 19:00:00.000	60	-1056696.43900213	2495580.64248597
56B	2010-05-11 20:00:00.000	60	-1056711.91425928	2495634.57152727
56B	2010-05-11 21:00:00.000	60	-1056802.52979362	2495485.51885845
56B	2010-05-11 22:00:00.000	60	-1056737.43390184	2495550.4847571
56B	2010-05-11 23:00:00.000	60	-1056725.70237947	2495543.1942641
56B	2010-05-12 01:00:00.000	120	-1056736.96511211	2495548.16902372
56B	2010-05-12 02:00:00.000	60	-1056739.77783604	2495562.0634504
56B	2010-05-12 03:00:00.000	60	-1056712.24976029	2495536.78367632
56B	2010-05-12 04:00:00.000	60	-1056723.35320887	2495554.10578713
56B	2010-05-12 05:00:00.000	60	-1056727.6021519	2495445.62859826
